#Menu	#Menu
User =	Felhasználó 
Please reset the component ID of corresponding schematic or corresponding PCB too =	Állítsa vissza  a megfelelõ  sematikus  vagy  megfelelõ  PCB  komponensazonosítóját  is    
Do you want to continue? =	   Folytatja   ? 
Reset Component Unique ID =	Összetevõ  egyedi  azonosítójának alaphelyzetbe állítása 
Component ID reset successfully! =	Az összetevõazonosító  visszaállítása  sikeresen!
Convert to PCB =	Konvertálás   PCB-re 
Update PCB =	PCB frissítése 
Shortcut Keys Setting =	Billentyûparancsok  beállítása  
Edit Symbol... =	Szimbólumszerkesztése... 
Highlight Net... =	Háló kiemelése... 
Simulate =	Szimulálás 
Simulation =	Szimuláció 
Standard Mode =	Normál mód  
Simulation Mode =	Szimulációs mód  
Change to Standard Mode =	Normál  módra váltás   
Change to Simulation Mode =	Váltás szimulációs  módra    
Welcome to Use LCEDA =	Üdvözöljük az    LCEDA használata 
Welcome to Use EasyEDA =	Üdvözöljük az    EasyEDA  
Enable Education Edition Features for Free >>> =	Az Education Edition  funkcióinak   engedélyezése ingyenes >>> 
Quick Start =	Gyorsindítás 
More Help =	További segítség  
Explore =	Felfedezés 
Message =	Üzenet 
[start]	[start]
Example =	Példa 
Forum =	Fórum 
Tutorials =	Oktatóanyagok 
Videos =	Videók 
[/start]	[/start]
Custom Data =	Egyéni adatok 
LCEDA =	LCEDA 
	
Copy Result Image =	Eredménykép  másolása 
Export Result Image =	Eredménykép  exportálása 
Simulation Result =	Szimulációs eredmény  
Simulation Results... =	Szimulációs eredmények... 
Simulate this Sheet =	Szimulálja ezt a  lapot  
Simulate this Project =	Szimulálja ezt a  projektet 
Non-simulation mode, please switch to the simulation mode first and then run =	Nemszimulációs  mód,  elõször  váltson  a    szimulációs  módra,     majd  futtassa  az 
Run the Document =	A   dokumentum  futtatása 
Run the Project... =	Futtassa a  projektet... 
Netlist for Document =	Netlista a  dokumentumhoz  
Netlist for Project =	Netlista a projekthez  
LTspice for This Sheet... =	Tetvek ehhez  a laphoz  ... 
Spice for this Project... =	Fûszer ehhez  a projekthez...  
Protel/Altium for PCB... =	Protel/Altium  PCB-hez...  
PADS for PCB... =	PÁRNA PCB-hez...  
FreePCB for PCB... =	FreePCB PCB-hez...  
Eagle for PCB... =	Sas PCB-hez...  
Kicad for PCB... =	Kicad PCB-hez...  
OrCAD for PCB... =	OrCAD PCB-hez...  
BOM report... =	ANYAGJEGYZÉK-jelentés... 
BOM for Document... =	Anyagjegyzék a  dokumentumhoz... 
BOM for Project... =	A projekt anyagjegyzéke...  
Pin Manager... =	Pin Manager... 
Spice Model... =	Fûszer modell... 
Layer Manager... =	Rétegkezelõ... 
Net Color... =	Nettó szín... 
Design Rule... =	Tervezési szabály... 
Copper Area =	Réz terület  
Rebuild Selected =	Újraépítés kijelölt  
Rebuild All =	Az összes újraépítése 
Copper Area Manager... =	Réz   területkezelõ... 
Export Pick and Place File =	Kivétel és helyfájl exportálása  
Measure Distance =	Távolság mérése 
Set Canvas Origin by Mouse Location =	Vászon    eredetének beállítása egér  helye szerint 
Generates Pick and Place File =	Kivétel és  helyfájl  létrehozása 
Unroute All =	Unroute All  
Auto Route =	Automatikus útvonal 
Export Autorouter File(DSN) =	Autorouter  fájl exportálása(DSN) 
Import Autorouter Session File(SES) =	Autorouter  munkamenetfájl  importálása (SES) 
Autorouter File(DSN) =	Autorouter fájl(DSN) 
Autorouter Session File(SES) =	Automatikus átirányítás  munkamenetfájlja(SES) 
Terminate Routing Automatically =	Az útválasztás  automatikus befejezése 
Delete Segments =	Szegmensek törlése 
Unroute Connections =	Nemroute kapcsolatok  
Unroute Connection =	Unroute Connection  
Unroute Nets =	Unroute hálók  
Select =	Kijelölés 
Segments =	Szegmensek 
Connection =	Kapcsolat 
Net =	Nettó 
Apply Design Rule While Routing and Auto Placing Via =	Tervezési  szabály alkalmazása útválasztás  és  automatikus  elhelyezés  közben    
	
Add SubPart =	Alrész hozzáadása 
Annotate... =	Jegyzetelés... 
Config =	Config 
	
Help =	Súgó 
About =	Körülbelül 
Shortcut Keys =	Billentyûparancsok  
FAQ =	GYIK 
Tutorials =	Oktatóanyagok 
Basic Tutorials =	Alapvetõ oktatóanyagok  
Video Tutorials =	Video oktatóanyagok  
Essential Check =	Alapvetõ ellenõrzés  
Simulation Tutorials =	Szimulációs oktatóanyagok  
Updated Instructions =	Frissített utasítások  
Open File Format =	Fájlformátum megnyitása  
About Upgrade =	A frissítésrõl 
User Forum =	Felhasználói fórum 
Feature Request =	Funkciókérés   
Feature Requests =	Funkciókérések  
Bug Report =	Hibajelentés   
Bug Reports =	Hibajelentések  
Tips & Skill =	Tippek és  ügyesség  
Ask for Help =	  Kérjen segítséget  
Schematic Capture =	Sematikus rögzítés  
Spice Simulation =	Fûszer szimuláció  
Non-simulation mode =	Nem szimulációs mód 
PCB Layout =	NYÁK elrendezés  
General Discussion =	Általános vita  
More Information =	További információk  
Privacy Policy =	Adatvédelmi szabályzat 
#Terms of Use & Privacy Policy	#Terms használati   szabályzat és  adatvédelmi  szabályzat
Terms of Service =	Szolgáltatási feltételek 
Plans and Pricing =	Tervek és  árak  
Help Translate =	Súgó fordítás  
About Us =	Rólunk  
Contact Us =	Lépjen kapcsolatba velünk  
Change History =	Elõzmények módosítása 
Join Us =	Csatlakozz hozzánk  
#PCB Fabrication Capabilities	#PCB gyártási   képességek
PCB Fabrication =	PCB gyártás  
Order Capabilities =	Rendelési képességek  
Order Price =	Rendelési ár 
Order Essential Check =	Rendelési alapvetõ  ellenõrzés  
Order FAQ =	Rendelés GYIK 
Order Process =	Rendelési folyamat  
Full Screen =	Teljes képernyõ  
	
Support =	Támogatás 
[leftNavTabs]	[leftNavTabs]
Support =	Támogatás 
[/leftNavTabs]	[/leftNavTabs]
Historical Records... =	Történelmi feljegyzések... 
Extensions =	Bõvítmények 
Order PCB... =	PCB rendelése... 
Import Changes =	Változások  importálása 
Press {0}F11{1} to switch to full screen. =	Nyomja meg {0}F11{1} gombot a  teljes  képernyõre való váltáshoz   . 
Delete Selected =	Kijelölt törlése 
Simulate... =	Szimulálás... 
Config =	Config 
Terms of Service & Privacy Policy =	Általános Szerzõdési Feltételek és  Adatvédelmi  szabályzat 
Help Topics =	Súgótémakörök  
3D Model(obj) =	3D modell(obj)
3D Model(step) =	3D modell(lépés)
SVG Source... =	SVG Forrás... 
File Source =	Fájlforrás   
Group These Items as a Symbol =	Ezeknek az  elemeknek  a csoportosítása  szimbólumként    
Group These Items as a Footprint =	Ezeknek az elemeknek a    csoportosítása  lábnyomként    
Set Canvas Origin =	Vászon  eredetének beállítása 
Document Setting =	Dokumentumbeállítás   
Sheet Attributes =	Lapattribútumok  
Set Board Outline =	Tábla  vázlatának beállítása 
Teardrop... =	Könnycsepp... 
Panelize... =	Panelizálás... 
Check Dimension =	Dimenzió  ellenõrzése 
Smart Dimension =	Intelligens dimenzió  
Footprint Wizard =	Lábnyom varázsló  
Footprint Wizard... =	Lábnyom varázsló... 
Select package type =	Válassza ki a csomag  típusát  
Smart Dimension Attributes =	Intelligens dimenzióattribútumok    
Global Delete =	Globális törlés  
Cross Probe =	Keresztszonda  
Cross Probe and Place =	Keresztszonda  és  hely  
Paper Size =	Papírméret   
Register =	Regisztráció 
User Center =	Felhasználói központ 
	
By Mouse Location =	Egér  helye szerint 
Set Coordinate =	Koordináta beállítása 
By Coordinates... =	Koordináták szerint... 
By Center of Pads =	A Pads  középpontja  
By Center Grid of Symbols =	A szimbólumok  középsõ  rácsa   
	
#Schematic Canvas Attributes	#Schematic vászon   attribútumok
Properties =	Tulajdonságok 
Attributes =	Attribútumok 
Apply =	Alkalmaz 
Save as default =	Mentés alapértelmezettként    
Canvas Attributes =	Vászon attribútumok  
Width =	Szélesség 
Height =	Magasság 
Background =	Háttér 
Visible Grid =	Látható rács  
Grid Visible =	Rács látható  
Real-Time Track Length =	Valós idejû sáv  hossza  
Display Real-Time Track Length =	Valós idejû sávhossz    megjelenítése 
Grid Color =	Rács színe  
Grid Size =	Rács mérete  
Grid Style =	Rácsstílus   
Grid.Line Width =	Grid.Line szélesség  
Grid.Line Spacing =	Grid.Line térköz  
Copper to Board Outline =	Réz a táblára    Vázlat 
Improve Fabrication =	A gyártás javítása 
Spoke Width =	Küllõ szélessége  
Stroke Color =	Körvonal színe  
Stroke Width =	Körvonal szélessége  
Stroke Style =	Körvonal stílusa  
Fill Color =	Szín  kitöltése 
Selected Objects =	Kijelölt objektumok  
Frame Size =	Keretméret   
Alt Snap =	Alt Snap  
Snap size when pressing the Alt key =	Illesztési méret    az  Alt  billentyû  lenyomásakor  
Prefix Start =	Kezdõ elõtag 
	
#Text Attributes	#Text attribútumok
Text Attributes =	Szövegattribútumok  
Text =	Szöveg 
Color =	Szín 
Font Family =	Betûcsalád   
Font Size =	Betûméret   
Font Weight =	Betûsúly   
Font Style =	Betûstílus  
Text Type =	Szöveg típusa  
Text Anchor =	Szöveghorgony  
Baseline =	Alapvonal 
(Auto) =	(Automatikus) 
(auto) =	(automatikus) 
start =	start 
middle =	középsõ 
end =	vége 
inherit =	örökölés 
comment =	megjegyzés 
spice =	fûszer 
normal =	normál 
italic =	dõlt 
Default =	Alapértelmezett 
Add =	Hozzáadás 
bold =	félkövér 
bolder =	merészebb 
lighter =	könnyebb 
Failed to parse the font file: {name} =	Nem  sikerült elemezni  a  betûtípusfájlt: {név}
Please select a font file of ttf or woff format. =	Válasszon ki egy ttf vagy  woff formátumú betûtípusfájlt.    
Add font success: {name} =	Betûtípus-sikerhozzáadása: {név} 
Failed to add font: {name} =	Nem sikerült betûtípust  hozzáadni: {név}
Add Font =	Betûtípus hozzáadása 
Failed to parse cached font: {name} =	Nem sikerült elemezni  a  gyorsítótárazott betûtípust:  {név}
Load cached fonts fail! =	A gyorsítótárazott  betûtípusok betöltése sikertelen!
	
#Stroke	#Stroke
Stroke Color =	Körvonal színe  
Stroke Width =	Körvonal szélessége  
Stroke Style =	Körvonal stílusa  
Fill Color =	Szín  kitöltése 
X Radius =	X sugár  
Y Radius =	Y sugár  
	
#spice	#spice
Switch mode =	Váltási mód  
The current documents will be closed, and reopen after switching mode, do you want to continue? =	     Az aktuális  dokumentumok    bezárnak  , és a váltási  módután újra megnyílnak ,  folytatja a  következõt : 
PCB related documents are not allowed in emulation mode =	A PCB-vel kapcsolatos  dokumentumok  nem  engedélyezettek  emulációs  módban    
"Please change the editor to ""Simulation"" mode first at the top left corner. ="	" A     szerkesztõt  elõször  a bal  felsõ  sarokbanmódosítsa ""Szimuláció""   módra.  "
"Please change the editor to ""Standard"" mode first at the top left corner. ="	"Kérjük, módosítsa  a  szerkesztõt  ""Standard""       módra   elõször a bal felsõ sarokban. "
Common =	Gyakori 
spice.open =	spice.open 
spice.close =	fûszer.close 
Sources =	Források 
Instrument =	Mûszer 
Transistors =	Tranzisztorok 
Digital Circuits =	Digitális áramkörök  
Operational Amplifier =	Mûködési erõsítõ  
multimeter =	multiméter 
multimeter Settings =	multiméter beállítások  
FunctionGenerator Settings =	FunctionGenerator beállítások  
Voltage Source Settings =	FeszültségForrás   beállításai  
Current Source Settings =	Aktuális forrásbeállítások    
Powersw Settings =	Powersw beállítások  
Resistor Settings =	Ellenállás beállításai  
Capacitor Settings =	Kondenzátor beállításai  
Diode Settings =	Dióda beállításai  
voltPowersw Settings =	voltPowersw beállítások  
Inductor Settings =	Induktor beállításai  
VCVS Settings =	VCVS beállítások  
CCCS Settings =	CCCS-beállítások  
VCCS Settings =	VCCS beállítások  
CCVS Settings =	CCVS beállítások  
JFET Settings =	JFET-beállítások  
FET Settings =	FET-beállítások  
Transmission Line Settings =	Átviteli vonal  beállításai  
Oscilloscope Settings =	Oszcilloszkóp beállítások  
XFMR Settings =	XFMR beállítások  
LOGIC Settings =	LOGIKAI beállítások  
LOGICSTATE Settings =	LOGICSTATE beállítások  
DIGITALCLOCK Settings =	DIGITALCLOCK beállítások  
Potentiometer Settings =	Potenciométer beállítások  
MUTUAL_INDUCTORS Settings =	MUTUAL_INDUCTORS Beállítások   
NE555 Settings =	NE555 Beállítások  
THREE_PHASE Settings =	THREE_PHASE Beállítások   
Logic_Probe Settings =	Logic_Probe Beállítások  
78XX Settings =	78XX beállítások  
79XX Settings =	79XX beállítások  
OPAMP5PEE Settings =	OPAMP5PEE beállítások  
OPAMP5PEECN Settings =	OPAMP5PEECN beállítások  
OPAMP3PEE Settings =	OPAMP3PEE beállítások  
OPAMP3PEECN Settings =	OPAMP3PEECN beállítások  
DELAY_FUSE Settings =	DELAY_FUSE Beállítások   
Ratio =	Arány 
K[%] =	K[%] 
Model =	Modell 
States =	Államok 
Voltage[V] =	Feszültség[V] 
Voltage gain[V/V] =	Feszültségnövekedés [V/V] 
Current gain[A/A] =	Aktuális nyereség[A/A] 
Transconductance[Mho] =	Transzkonduktancia[Mho] 
Transresistance[?] =	Transzrezisztancia[?] 
Voltage Source Type =	FeszültségForrás   típusa  
Current Source Type =	Aktuális forrástípus    
multimeter type =	multiméter típusa  
power type =	teljesítmény típusa  
Voltmeter Resistance(R)(?) =	Voltmérõ ellenállás(R)(?) 
Amperometer Resistance(R)(?) =	Amperométer ellenállás(R)(?) 
mu.V =	neki. V 
mu.A =	neki. A 
Sine Wave =	Szótag hullám 
Triangular Wave =	Háromszög alakú hullám  
Rectangular Wave =	Téglalap alakú hullám  
AC =	AM 
DC =	DC 
SINE =	SINE 
PULSE =	PULZUS 
EXP =	EXP 
SFFM =	SFFM 
PWL =	PWL 
B.spice =	B.spice 
DC Value[V] =	Egyenáramú érték[V] 
DC Value[A] =	Egyenáramú érték[A] 
DC offset[V] =	Egyenáram eltolás[V] 
DC offset[A] =	Egyenáram eltolása[A] 
Amplitude[V] =	Amplitúdó[V] 
Amplitude[A] =	Amplitúdó[A] 
Freq[Hz] =	Freq[Hz] 
Theta[1/s] =	Theta[1/s] 
Tdelay[s] =	Tdelay[s] 
Phi[deg] =	Phi[te]
Tperiod[s] =	Tperiod[s] 
Ton[s] =	Tone(ok) 
Tfall[s] =	Tfall[s] 
Trise[s] =	Trise[s] 
Von[V] =	From[V] 
Von[A] =	From[A] 
Vinitial[V] =	Vinitial[V] 
Vinitial[A] =	Vinitial[A] 
Vpulsed[V] =	Vpulsed[V] 
Vpulsed[A] =	Vpulsed[A] 
Rise Delay[s] =	Emelkedés késleltetése[s] 
Rise Tau[s] =	Rise Tau[s] 
Fall Delay[s] =	Õszi késleltetés[s] 
Fall Tau[s] =	Fall Tau[s] 
Carrier Freq[Hz] =	Carrier Freq[Hz] 
Modulation Index =	Modulációs index 
Signal Freq[Hz] =	Signal Freq[Hz] 
Time[s] =	Idõ[ek] 
Value[V] =	Érték[V] 
Value[A] =	Érték[A] 
Waveforms =	Hullámformák 
Duty cycle[%] =	Vámciklus [%] 
Amplitude[Vp] =	Amplitúdó[Vp] 
Offset[V] =	Eltolás[V] 
Rise/Fall Time[sec] =	Emelkedési/õszi  idõ[sec] 
Capacitance[F] =	Kapacitás[F] 
sComponent =	sComponent 
Inductance[H] =	Induktance[H] 
Gbw =	Gbw 
Slewrate =	Slewrate 
Avol =	Avol 
Rout(?) =	Rout(Oh) 
Rin(?) =	Rin(?) 
Ibias[A] =	Ibias[A] 
Inhi[V] =	Ez[V] 
Inlo[V] =	Inlo[V] 
Isc[A] =	Isc[A] 
Outhi[V] =	Outhi[V] 
Outlo[V] =	Outlo[V] 
Vabsmax[V] =	Vabsmax[V] 
Vmin[V] =	Vmin[V] 
Iq[A] =	Iq[A] 
Cin[F] =	Cin[F] 
high =	magas 
low =	alacsony 
Oscilloscope =	Oszcilloszkóp 
Logic Analyzer =	Logikai analizátor  
Channel_A =	Channel_A 
Channel_B =	Channel_B 
Channel A =	A csatorna 
Channel B =	B csatorna 
Time =	Idõ 
Reverse =	Fordított 
Simulation file exceed =	Szimulációs fájl  exceed  
The simulation file is too large and has been stopped for performance reasons. =	A szimulációs fájl túl  nagy,    és  teljesítménybeli  okokból  leállt   . 
Timebase =	Idõbázis 
Scale: =	Skála: 
X pos.(Div): =	X post.( Div: 
Y pos.(Div): =	És pos.( Div): 
View meter... =	Mérõmegtekintése... 
The circuit has components without simulation model: =	Az áramkörnek  szimulációs  modell nélküli összetevõi  vannak: 
"Your simulation interval is too short to simulate, please wait 5 seconds later and try again; if still show this message, may be you simulated over 500 times the maximum simulation times per day. ="	"A szimulációs  idõköz túl  rövid  a  szimuláláshoz  , kérjük,    várjon  5  másodperccel  késõbb,  és  próbálkozzon  újra; ha  továbbra is ezt az  üzenetet jeleníti  meg,  lehet,   hogy  a napi maximális  szimulációs  idõ több mint 500-szorosát    szimulálja . "
Resistor1_US =	Resistor1_US 
Resistor1_EU/IEC =	Resistor1_EU/IEC 
Resistor1_3D =	Resistor1_3D 
Capacitor1_US =	Capacitor1_US 
Capacitor1_EU/IEC =	Capacitor1_EU/IEC 
Capacitor1_3D =	Capacitor1_3D 
Rheostat_US =	Rheostat_US 
Rheostat_EU/IEC =	Rheostat_EU/IEC 
Rheostat_3D =	Rheostat_3D 
Capacitor_Electrolytic_US =	Capacitor_Electrolytic_US 
Capacitor_Electrolytic_EU/IEC =	Capacitor_Electrolytic_EU/IEC 
Capacitor_Electrolytic_3D =	Capacitor_Electrolytic_3D 
Inductor_US =	Inductor_US 
Inductor_EU/IEC =	Inductor_EU/IEC 
Inductor_3D =	Inductor_3D 
Resistor2_US =	Resistor2_US 
Resistor2_EU/IEC =	Resistor2_EU/IEC 
Resistor2_3D =	Resistor2_3D 
Multimeter =	Multiméter 
Multimeter_3D =	Multimeter_3D 
Oscilloscope =	Oszcilloszkóp 
Oscilloscope_3D =	Oscilloscope_3D 
Signal_Generator =	Signal_Generator 
Signal Generator_3D =	Jel Generator_3D 
Wattmeter =	Wattméter 
Wattmeter_3D =	Wattmeter_3D 
NSSWS1080T_3D =	NSSWS1080T_3D 
Voltage_Source_VDC =	Voltage_Source_VDC 
Voltage_Source_VSin =	Voltage_Source_VSin 
Voltage_Source_VPULSE =	Voltage_Source_VPULSE 
Voltage_Source_VEXP =	Voltage_Source_VEXP 
Voltage_Source_VSFFM =	Voltage_Source_VSFFM 
Voltage_Source_VPWL =	Voltage_Source_VPWL 
Voltage_Source_V_Behavioral_Source =	Voltage_Source_V_Behavioral_Source 
Current_Source_IDC =	Current_Source_IDC 
Current_Source_ISin =	Current_Source_ISin 
Current_Source_IPULSE =	Current_Source_IPULSE 
Current_Source_IEXP =	Current_Source_IEXP 
Current_Source_ISFFM =	Current_Source_ISFFM 
Current_Source_IPWL =	Current_Source_IPWL 
Current_Source_I_Behavioral_Source =	Current_Source_I_Behavioral_Source 
CCCS_1 =	CCCS_1 
CCCS_2 =	CCCS_2 
CCVS_1 =	CCVS_1 
CCVS_2 =	CCVS_2 
VCCS =	VCCS 
VCVS =	VCVS 
Three_Phase_Wye_Load =	Three_Phase_Wye_Load 
Three_Phase_Delta_Load =	Three_Phase_Delta_Load 
78XX =	78XX 
79XX =	79XX 
555 =	555
555_3D =	555_3D 
Transformer_US =	Transformer_US 
Transformer_EU/IEC =	Transformer_EU/IEC 
Transformer_Center_Tapped_US =	Transformer_Center_Tapped_US 
Transformer_Center_Tapped_EU/IEC =	Transformer_Center_Tapped_EU/IEC 
Mutual_Inductor_US =	Mutual_Inductor_US 
Mutual_Inductor_EU/IEC =	Mutual_Inductor_EU/IEC 
Mutual_Inductor2_US =	Mutual_Inductor2_US 
Mutual_Inductor2_EU/IEC =	Mutual_Inductor2_EU/IEC 
OR2EE_US =	OR2EE_US 
OR3EE_US =	OR3EE_US 
OR4EE_US =	OR4EE_US 
OR2EE_CN =	OR2EE_CN 
OR3EE_CN =	OR3EE_CN 
OR4EE_CN =	OR4EE_CN 
NOR2EE_US =	NOR2EE_US 
NOR3EE_US =	NOR3EE_US 
NOR4EE_US =	NOR4EE_US 
NOR2EE_CN =	NOR2EE_CN 
NOR3EE_CN =	NOR3EE_CN 
NOR4EE_CN =	NOR4EE_CN 
AND2EE_US =	AND2EE_US 
AND3EE_US =	AND3EE_US 
AND4EE_US =	AND4EE_US 
AND2EE_CN =	AND2EE_CN 
AND3EE_CN =	AND3EE_CN 
AND4EE_CN =	AND4EE_CN 
NAND2EE_US =	NAND2EE_US 
NAND3EE_US =	NAND3EE_US 
NAND4EE_US =	NAND4EE_US 
NAND2EE_CN =	NAND2EE_CN 
NAND3EE_CN =	NAND3EE_CN 
NAND4EE_CN =	NAND4EE_CN 
XOR2EE_US =	XOR2EE_US 
XOR2EE_CN =	XOR2EE_CN 
XNOR2EE_US =	XNOR2EE_US 
XNOR2EE_CN =	XNOR2EE_CN 
Digital_Clock_1Hz =	Digital_Clock_1Hz 
Logicstate_0 =	Logicstate_0 
Logicstate_1 =	Logicstate_1 
Logic_Probe =	Logic_Probe 
Buffee =	Buffee 
INVEE_US =	INVEE_US 
INVEE_CN =	INVEE_CN 
Schmittbuffee =	Schmittbuffee 
LM358N_US =	LM358N_US 
LM358N_CN =	LM358N_CN 
OPAMP3PEE_US =	OPAMP3PEE_US 
OPAMP3PEE_CN =	OPAMP3PEE_CN 
OPAMP5PEE_US =	OPAMP5PEE_US 
OPAMP5PEE_CN =	OPAMP5PEE_CN 
Voltage_Controlled_Switch =	Voltage_Controlled_Switch 
Current_Controlled_Switch =	Current_Controlled_Switch 
FUSE =	FUSE 
Delay_Fuse =	Delay_Fuse 
Transmission_Line =	Transmission_Line 
Crystal =	Kristály 
DFFEE =	DFFEE 
TFFEE =	TFFEE 
JKFFEE =	JKFFEE 
SRFFEE =	SRFFEE 
SRLATCHEE =	SRLATCHEE 
SRNANDFFEE =	SRNANDFFEE 
SRNORFFEE =	SRNORFFEE 
INVTSEE =	INVTSEE 
INVODEE =	SZÁMLÁZÁS 
Cbuffer =	Cbuffer 
SPDT_Open =	SPDT_Open 
SPDT_Close =	SPDT_Close 
SPST_Close =	SPST_Close 
SPST_Open =	SPST_Open 
Fast_Crystal =	Fast_Crystal 
Lamp =	Lámpa 
BCD_Segment =	BCD_Segment 
Seven_Segment =	Seven_Segment 
Traffic_Light =	Traffic_Light 
Lamp Settings =	Lámpabeállítások   
Power[W] =	Teljesítmény[W] 
Dropout Voltage[V] =	Lemorzsolódási feszültség[V] 
Current[A] =	Aktuális[A] 
Threshold[V] =	Küszöbérték[V] 
Clock Rate =	Órajel   
TrafficLight Settings =	TrafficLight beállítások  
BCDSegment Settings =	BCDSegment beállítások  
SevenSegment Settings =	SevenSegment beállítások  
SPDT Settings =	SPDT-beállítások  
SPST Settings =	SPST-beállítások  
LogicAnalyzer Settings =	LogicAnalyzer beállítások  
Fuse Settings =	Biztosíték beállításai  
Wattmeter Settings =	Wattméter beállítások  
